,Channel1,Channel2,Channel3,Channel4
351,4.32,0.16,-0.08,4
352,-1.52,0.08,-0.16,-1.84
353,0.08,0.16,-0.08,-0.24
354,0,0.08,-0.16,-0.4
355,0.08,0.16,-0.08,-0.24
356,0,0.08,-0.16,-0.32
357,0.08,0.16,-0.08,-0.24
358,0,0.08,-0.16,-0.32
359,0.08,0.16,-0.08,-0.24
360,0,0.08,-0.16,-0.32
361,0.08,0.16,-0.08,-0.24
362,0,0.08,-0.16,-0.32
363,0.08,0.16,-0.08,-0.24
364,0,0.16,-0.16,-0.32
365,0.08,0.16,-0.08,-0.24
366,0,0.08,-0.16,-0.32
367,4.24,0.16,-0.08,-0.24
368,0,0.08,-0.16,-0.32
369,4.32,0.16,-0.08,-0.16
370,-1.52,0.16,-0.16,-0.4
371,0.08,0.16,-0.08,4
372,-0.08,0.16,-0.16,-1.84
373,0.08,0.16,-0.08,-0.24
374,0,0.16,-0.16,-0.4
375,0.08,0.16,-0.08,-0.24
376,0,0.16,-0.16,-0.32
377,0.08,0.16,-0.08,-0.24
378,0,0.16,-0.16,-0.32
379,0.08,0.16,-0.08,-0.24
380,0,0.16,-0.16,-0.32
381,0.08,0.16,-0.08,-0.24
382,0,0.16,-0.16,-0.32
383,0.08,0.16,-0.08,-0.24
384,0,0.16,-0.16,-0.32
385,4.32,0.16,-0.08,-0.16
386,-1.52,0.16,-0.16,-0.4
387,0.08,0.16,-0.08,-0.24
388,0,0.16,-0.16,-0.32
389,0.08,0.16,-0.08,-0.24
390,0,0.08,-0.16,-0.32
391,0.08,0.16,-0.08,4
392,-0.08,0.16,-0.16,-1.84
393,0.08,0.16,-0.08,-0.24
394,0,0.16,-0.16,-0.4
395,0.08,0.16,-0.08,-0.24
396,0,0.16,-0.16,-0.4
397,0.08,0.16,-0.08,-0.24
398,0,0.16,-0.16,-0.32
399,0.08,0.16,-0.08,-0.24
400,0,0.16,-0.16,-0.4
401,4.32,0.16,-0.08,-0.16
402,-1.52,0.16,-0.16,-0.4
403,0.08,0.16,-0.08,-0.24
404,0,0.16,-0.16,-0.32
405,0.08,0.16,-0.08,-0.24
406,0,0.16,-0.16,-0.32
407,0.08,0.16,-0.08,-0.24
408,0,0.16,-0.16,-0.32
409,0.08,0.16,-0.08,-0.24
410,0,0.16,-0.16,-0.32
411,0.08,0.16,-0.08,4
412,-0.08,0.16,-0.16,-1.84
413,0.08,0.16,-0.08,-0.24
414,0,0.16,-0.16,-0.4
415,0.08,0.16,-0.08,-0.24
416,0,0.16,-0.16,-0.4
417,0.08,0.16,-0.08,-0.24
418,0,0.16,-0.16,-0.32
419,4.32,0.16,-0.08,-0.16
420,-1.52,0.08,-0.16,-0.4
421,0.08,0.16,-0.08,-0.24
422,0,0.08,-0.16,-0.32
423,0.08,0.16,-0.08,-0.24
424,0,0.16,-0.16,-0.32
425,0.08,0.16,-0.08,-0.24
426,0,0.08,-0.16,-0.32
427,0.08,0.16,-0.08,-0.24
428,0,0.08,-0.16,-0.32
429,0.08,0.16,-0.08,-0.24
430,0,0.08,-0.16,-0.32
431,0.08,0.16,-0.08,4
432,-0.08,0.08,-0.16,-1.84
433,0.08,0.16,-0.08,-0.24
434,0,0.08,-0.16,-0.32
435,4.32,0.16,-0.08,-0.16
436,-1.52,0.08,-0.16,-0.4
437,0.08,0.16,-0.08,-0.24
438,0,0.16,-0.16,-0.32
439,0.08,0.16,-0.08,-0.24
440,0,0.16,-0.16,-0.32
441,0.08,0.16,-0.08,-0.24
442,0,0.16,-0.16,-0.32
443,0.08,0.16,-0.08,-0.24
444,0,0.16,-0.16,-0.32
445,0.08,0.16,-0.08,-0.24
446,0,0.08,-0.16,-0.32
447,0.08,0.16,-0.08,-0.24
448,0,0.16,-0.16,-0.32
449,0.08,0.16,-0.08,-0.24
450,0,0.16,-0.16,-0.32
451,4.32,0.16,-0.08,4
452,-1.52,0.08,-0.16,-1.84
453,0.08,0.16,-0.08,-0.24
454,0,0.16,-0.16,-0.32
455,0.08,0.16,-0.08,-0.24
456,0,0.16,-0.16,-0.32
457,0.08,0.16,-0.08,-0.24
458,0,0.08,-0.16,-0.4
459,0.08,0.16,-0.08,-0.24
460,0,0.16,-0.16,-0.32
461,0.08,0.16,-0.08,-0.24
462,0,0.16,-0.16,-0.32
463,0.08,0.16,-0.08,-0.24
464,0,0.08,-0.16,-0.32
465,0.08,0.16,-0.08,-0.24
466,0,0.08,-0.16,-0.32
467,0.08,0.16,-0.08,-0.24
468,0,0.16,-0.16,-0.32
469,4.32,0.16,-0.08,-0.16
470,-1.52,0.16,-0.16,-0.4
471,0.16,0.16,-0.08,4
472,-0.08,0.16,-0.16,-1.84
473,0.08,0.16,-0.08,-0.24
474,0,0.16,-0.16,-0.4
475,0.08,0.16,-0.08,-0.24
476,0,0.16,-0.16,-0.32
477,0.08,0.16,-0.08,-0.24
478,0,0.08,-0.16,-0.32
479,0.08,0.16,-0.08,-0.24
480,0,0.08,-0.16,-0.32
481,0.08,0.16,-0.08,-0.24
482,0,0.16,-0.16,-0.32
483,0.08,0.16,-0.08,-0.24
484,0,0.08,-0.16,-0.32
485,4.32,0.16,-0.08,-0.16
486,-1.52,0.16,-0.16,-0.4
487,0.08,0.16,-0.08,-0.24
488,0,0.16,-0.16,-0.32
489,0.08,0.16,-0.08,-0.24
490,0,0.16,-0.16,-0.32
491,0.08,0.16,-0.08,4
492,-0.08,0.16,-0.16,-1.84
493,0.08,0.16,-0.08,-0.24
494,0,0.16,-0.16,-0.32
495,0.08,0.16,-0.08,-0.24
496,0,0.16,-0.16,-0.32
497,0.08,0.16,-0.08,-0.24
498,0,0.16,-0.16,-0.32
499,0.08,0.16,-0.08,-0.24
